id;riasec_override_r;riasec_override_i;riasec_override_a;riasec_override_s;riasec_override_e;riasec_override_c
236;NULL;NULL;NULL;NULL;NULL;NULL
233;NULL;NULL;NULL;NULL;NULL;NULL
229;NULL;NULL;NULL;NULL;NULL;NULL
548;NULL;NULL;NULL;NULL;NULL;NULL
230;NULL;NULL;NULL;NULL;NULL;NULL
237;NULL;4;NULL;NULL;NULL;NULL
238;NULL;NULL;NULL;NULL;NULL;NULL
239;NULL;NULL;NULL;NULL;NULL;NULL
241;NULL;NULL;NULL;NULL;NULL;NULL
240;NULL;NULL;NULL;NULL;NULL;NULL
244;NULL;NULL;NULL;NULL;NULL;NULL
248;NULL;NULL;NULL;NULL;NULL;NULL
254;NULL;NULL;NULL;NULL;NULL;NULL
253;NULL;NULL;NULL;NULL;NULL;NULL
252;NULL;NULL;NULL;NULL;NULL;NULL
258;NULL;NULL;NULL;NULL;NULL;NULL
261;NULL;NULL;NULL;NULL;NULL;NULL
256;NULL;NULL;NULL;NULL;4;NULL
255;NULL;NULL;NULL;NULL;3;NULL
259;NULL;NULL;NULL;NULL;3;NULL
269;NULL;NULL;NULL;NULL;NULL;NULL
270;NULL;NULL;NULL;NULL;NULL;NULL
280;NULL;NULL;NULL;NULL;NULL;1
279;NULL;NULL;NULL;NULL;NULL;NULL
287;NULL;NULL;NULL;NULL;NULL;NULL
283;NULL;NULL;NULL;NULL;NULL;NULL
285;NULL;NULL;NULL;NULL;NULL;NULL
282;NULL;NULL;NULL;NULL;NULL;NULL
284;NULL;NULL;NULL;NULL;NULL;NULL
286;NULL;NULL;NULL;NULL;NULL;NULL
289;NULL;NULL;NULL;NULL;NULL;NULL
495;NULL;4;NULL;NULL;NULL;NULL
294;NULL;NULL;NULL;NULL;NULL;NULL
295;NULL;NULL;NULL;NULL;NULL;NULL
312;NULL;NULL;NULL;NULL;NULL;NULL
309;NULL;NULL;NULL;NULL;NULL;NULL
305;NULL;NULL;NULL;NULL;NULL;NULL
306;2;4;NULL;NULL;NULL;NULL
317;NULL;4;2;NULL;3;NULL
319;NULL;NULL;NULL;NULL;NULL;NULL
318;NULL;NULL;3;NULL;3;NULL
316;NULL;NULL;NULL;NULL;NULL;NULL
324;NULL;NULL;NULL;NULL;NULL;NULL
320;NULL;NULL;NULL;NULL;NULL;NULL
323;NULL;NULL;NULL;NULL;NULL;NULL
322;NULL;NULL;NULL;NULL;NULL;NULL
321;NULL;NULL;NULL;NULL;NULL;NULL
325;NULL;NULL;NULL;NULL;NULL;NULL
326;NULL;NULL;NULL;NULL;NULL;NULL
327;NULL;NULL;NULL;NULL;NULL;NULL
350;NULL;NULL;NULL;NULL;NULL;NULL
353;NULL;NULL;NULL;NULL;NULL;NULL
362;NULL;NULL;NULL;NULL;NULL;NULL
361;NULL;NULL;NULL;NULL;NULL;NULL
357;NULL;NULL;NULL;NULL;NULL;NULL
373;NULL;NULL;2;NULL;NULL;NULL
378;NULL;NULL;NULL;NULL;NULL;NULL
369;NULL;NULL;2;NULL;NULL;NULL
371;NULL;NULL;1;NULL;NULL;4
370;NULL;NULL;2;NULL;NULL;NULL
379;NULL;NULL;NULL;NULL;NULL;NULL
374;NULL;NULL;1;NULL;NULL;NULL
377;NULL;NULL;1;NULL;NULL;4
517;NULL;NULL;NULL;NULL;NULL;NULL
499;NULL;NULL;NULL;NULL;NULL;NULL
382;NULL;NULL;NULL;NULL;NULL;NULL
